SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
PBTS,2019-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1442525
PBTS,2019-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1442525
PBTS,2018-12-31,USD,2930300,None,None,None,None,643270,2162390,None,0,None,-1317830,598490,None,None,None,None,0,0,None,None,None,None,0,None,None,None,1553630
PBTS,2018-09-30,USD,2342068,None,None,None,None,72595,750861,None,0,None,-699521,678034,None,None,None,None,0,0,None,None,None,None,0,None,None,None,73069
PBTS,2018-06-30,USD,-1911110,None,None,None,None,298530,660660,None,0,None,81210,-600310,None,None,None,None,0,0,None,None,None,None,0,None,None,None,1328780
PBTS,2018-03-31,USD,-955555,None,None,None,None,63634,330332,None,0,None,40605,-300153,None,None,None,None,0,0,None,None,None,None,0,None,None,None,700076
PBTS,2017-12-31,USD,1287860,None,None,None,None,313550,1835640,None,None,None,-2221180,-485740,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3978200
PBTS,2017-09-30,USD,1466362,None,None,None,None,40910,542454,None,None,None,-692295,-87614,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1250054
PBTS,2017-06-30,USD,-800234,None,None,None,None,22379,375368,None,None,None,-418295,-177450,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1485000
PBTS,2017-03-31,USD,-800235,None,None,None,None,22380,375368,None,None,None,-418296,-177451,None,None,None,None,None,None,None,None,None,None,None,None,None,None,742379
PBTS,2016-12-31,USD,5131000,None,None,None,None,None,1243000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3454000
